ChangeReportConverter 1.0.0.0 Copyright © KEBA 2012
Fileformat Version: 1
Versions: project:KePlast.IEC_01.35b@\Kemro_Applications ---> project:KePlast.IEC_01.35a@\Kemro_Applications
File creation time: 2019/2/19 14:48:06
User: LANGROUP\yanghl

managerconfig\services.cfg;CR_0050158: hmi.log file not included in statusreport anymore;
IMM\Device1\AddFilesForExecutableSystem\workspace\workspace\data\lintab\togglelever\Linear.txt;CR_0046924: Mold can not open more than 1000mm on direct close machines;
IMM\ieccontrol\system\FCreateIECVersion.pu;CR_xxxxxxx;
IMM\ieccontrol\system\ABEnergy.pu;CR_0050120: Energy calculation defect;
IMM\ieccontrol\system\energy.sv;CR_0050120: Energy calculation defect;
IMM\ieccontrol\system\SystemVariables.sv;CR_0038075: Cavity Plaus with 0 make no sense;CR_0050885: sv_bUseProgramSwitches not stored in VG_SequenceData -> loading a sequence does nothing when program switch mode active;
IMM\ieccontrol\system\Units.at;CR_0050246: Fix problems in temperature compensation mask;
IMM\ieccontrol\system\ThermoWireParameters.tu;CR_0050246: Fix problems in temperature compensation mask;
IMM\ieccontrol\system\ThermoWireParameters.sv;CR_0050246: Fix problems in temperature compensation mask;
IMM\ieccontrol\system\ABMachineLock.pu;CR_0050284: MLF alarm should be set delayed;
IMM\ieccontrol\system\MachineLock1Customer.sv;CR_0050284: MLF alarm should be set delayed;
IMM\ieccontrol\GlobalBaseArchives\ABControl.pu;CR_0047627: Print out a list of active and started movements when erMaxStartedMovementsExceeded occurs;
IMM\ieccontrol\GlobalBaseArchives\FCreateIECBaseVersion.pu;CR_xxxxxxx;
IMM\ieccontrol\GlobalBaseArchives\FCalcDuration.pu;CR_0051188: Floating point exception with FCalcDuration:;
IMM\ieccontrol\GlobalBaseArchives\ABPositionController.pu;CR_0050608: Postion controller: position tolerance not parametrizable;
IMM\ieccontrol\CentralCoordination1\ABActiveMovements.pu;CR_0047627: Print out a list of active and started movements when erMaxStartedMovementsExceeded occurs;
IMM\ieccontrol\Lubrication1\ABLubrication.pu;CR_0046629: if lubrication OFF time is to short, the controller will fire an alarm;
IMM\ieccontrol\Lubrication1\FBLubrication.pu;CR_0046629: if lubrication OFF time is to short, the controller will fire an alarm;
IMM\ieccontrol\ODC1\odc.sv;CR_0050244: wrong creation of sequence when airvalve mode changes to after ejector and ejector not used;
IMM\ieccontrol\ODC1\ABODCCheckDependencies.pu;CR_0050876: ABODCDependencies-aCheckInternal checks wrong intermediate pos reached flag;
IMM\ieccontrol\ODC1\FBStartedMovementAdder.pu;CR_0047627: Print out a list of active and started movements when erMaxStartedMovementsExceeded occurs;
IMM\ieccontrol\ODC1\FCreateODCVersion.pu;CR_xxxxxxx;
IMM\ieccontrol\OilMaintenance1\ABOilMaintenance.pu;CR_0050246: Fix problems in temperature compensation mask;
IMM\ieccontrol\MoldHeightAdjust1\ABManualButton.pu;CR_0049767: Mold height adjustment start variable not reset on error sv_bMoldHeightAutoAdjHMI is never reset;CR_0049782: Remove references to Panel_keyMem from application;
IMM\ieccontrol\simulation\ABEjeSimu.pu;CR_0051033: Ejector1.di_EjectorBwd is never checked if Ejector1.ai_Position is available;
IMM\ieccontrol\simulation\ABWVEvent.pu;CR_0049782: Remove references to Panel_keyMem from application;
IMM\Device1\AddFilesForExecutableSystem\workspace\workspace\data\modemsimdata\Republic of Korea - SK telecom.xml;CR_0050679: Mobile provider information for SK telecom in KePlast SIM- list not correct;
IMM\ieccontrol\Mold1\MoldVariables.sv;CR_0049748 --> CR_0051290: EIMM: No variable group for sv_ClampForce;CR_0046924: Mold can not open more than 1000mm on direct close machines;CR_0049698: sv_bClampForceBuildUpWithTime RETAIN but not in any VG_;
IMM\ieccontrol\Mold1\ABMeasureClampPressure.pu;CR_0047446: Max clampforce is not recalculated when sv_rMaximumPressure changes;
IMM\ieccontrol\Mold1\MoldPositionControl.sv;CR_0050608: Postion controller: position tolerance not parametrizable;CR_0049105: Position controller SV-variables: wrong and missing attributes;
IMM\ieccontrol\MoldHeight1\ABManualButton.pu;CR_0049782: Remove references to Panel_keyMem from application;
IMM\ieccontrol\MoldHeight1\ABMeasure.pu;CR_0049750: Auto mold height adjustment is not locked when mold height adjustment motor overload is detected;
IMM\ieccontrol\Ejector1\Movements.sv;CR_0051033: Ejector1.di_EjectorBwd is never checked if Ejector1.ai_Position is available;
IMM\ieccontrol\InjectionGeneral\ABMovementAdmin.pu;CR_0050608: Postion controller: position tolerance not parametrizable;
IMM\ieccontrol\InjectionGeneral\ABInject.pu;CR_0051052: Screw moves backward if position 0 is reached and cut off not detected: calculate profile with end output value;
IMM\ieccontrol\AutoPurgeGeneral\ABMoveAutoPurge.pu;CR_0046343: autopurge timeout if plast time is increased during plast is active;
IMM\ieccontrol\HeatingGeneral\ABGroupControl.pu;CR_0051011: First identification of hotrunner zone always calculates wrong parameters;
IMM\ieccontrol\HeatingGeneral\ABZone.pu;CR_0051011: First identification of hotrunner zone always calculates wrong parameters;
IMM\ieccontrol\EjectorGeneral\ABMovementAdmin.pu;CR_0051033: Ejector1.di_EjectorBwd is never checked if Ejector1.ai_Position is available;
IMM\ieccontrol\MoldGeneral\ABMovementAdmin.pu;CR_0050608: Postion controller: position tolerance not parametrizable;CR_0049105: Position controller SV-variables: wrong and missing attributes;
IMM\ieccontrol\Injection1\Movements.sv;CR_0047661: Wrong text for Decomp up to pos;
