ChangeReportConverter 1.0.0.0 Copyright © KEBA 2012
Fileformat Version: 1
Versions: project:KePlast.IEC_01.38a@\Kemro_Applications ---> project:KePlast.IEC_01.38@\Kemro_Applications
File creation time: 2019/2/19 14:48:06
User: LANGROUP\yanghl

IMM\ieccontrol\system\ABRuntimeMonitoring.pu;CR_0056470: Cycle oveflow in TaskMid during startup of control using SpeedPump application;
IMM\ieccontrol\system\FCreateIECVersion.pu;CR_xxxxxxx;
IMM\ieccontrol\system\protected.sv;CR_0056470: Cycle oveflow in TaskMid during startup of control using SpeedPump application;
IMM\ieccontrol\system\system.at;CR_0055843: KePlast: Possibility for delay of loop;
IMM\ieccontrol\system\hmi\text\systemtx.properties;CR_0055843: KePlast: Possibility for delay of loop;
IMM\ieccontrol\system\hmi\text\systemtx_de.properties;CR_0055843: KePlast: Possibility for delay of loop;
IMM\ieccontrol\system\hmi\text\systemtx_en.properties;CR_0055843: KePlast: Possibility for delay of loop;
IMM\ieccontrol\system\hmi\text\systemtx_zh.properties;CR_0056493: KePlast: Some chinese translations of mask buttons are not correct;CR_0055843: KePlast: Possibility for delay of loop;
IMM\ieccontrol\system\hmi\text\systemtx_zh_TW.properties;CR_0055843: KePlast: Possibility for delay of loop;
IMM\ieccontrol\system\hmi\text\systemtx.att;CR_xxxxxxx;CR_0055843: KePlast: Possibility for delay of loop;
IMM\ieccontrol\GlobalBaseArchives\Components.tu;CR_0055843: KePlast: Possibility for delay of loop;
IMM\ieccontrol\GlobalBaseArchives\SystemEvents.tu;CR_0055843: KePlast: Possibility for delay of loop;
IMM\ieccontrol\GlobalBaseArchives\SystemTypes.tu;CR_0055843: KePlast: Possibility for delay of loop;
IMM\ieccontrol\GlobalBaseArchives\FCreateIECBaseVersion.pu;CR_xxxxxxx;
IMM\ieccontrol\ODC1\ABODC.pu;CR_0055843: KePlast: Possibility for delay of loop;CR_0055773: switching to fullauto mode possible although injection unit not plasticized;
IMM\ieccontrol\ODC1\movements.sv;CR_0055849: KePlast: Possibility to use Operation Mode in IF condition of sequencer;
IMM\ieccontrol\ODC1\ABInterpreter.pu;CR_0055843: KePlast: Possibility for delay of loop;CR_0056318: machine sequencer: problem with "parallel open" trees;
IMM\ieccontrol\ODC1\ABODCMovements.pu;CR_0055843: KePlast: Possibility for delay of loop;
