ChangeReportConverter 1.0.0.0 Copyright © KEBA 2012
Fileformat Version: 1
Versions: project:KePlast.IEC_01.38d@\Kemro_Applications ---> project:KePlast.IEC_01.38c@\Kemro_Applications
File creation time: 2019/2/19 14:48:06
User: LANGROUP\yanghl

IMM\ieccontrol\system\FCreateIECVersion.pu;CR_xxxxxxx;
IMM\ieccontrol\GlobalBaseArchives\ABControl.pu;CR_0057093: evLockGroupEnableDisable does not support cAllDevIndex;CR_0055905 --> CR_0051822: optimize delay times between movements;
IMM\ieccontrol\GlobalBaseArchives\FCreateIECBaseVersion.pu;CR_xxxxxxx;
IMM\ieccontrol\ODC1\ABODC.pu;CR_0059106: steps after autocycle loop are possibly executed too early;CR_0055905 --> CR_0051822: optimize delay times between movements;
IMM\ieccontrol\ODC1\FCreateODCVersion.pu;CR_xxxxxxx;
IMM\ieccontrol\OutputCoordination1\OutputCoordination.sv;CR_0058920: alarm text for �erMultipleSubChannelDef� and �erMultipleChannelDef� are exchanged;
IMM\ieccontrol\PDP1\PDPVars.sv;CR_0057110: PDP can mix PRE/POST data from 2 different shots if a shot was aborted before the shot counter is increased;
IMM\ieccontrol\PDP1\ABPreShotCounter.pu;CR_0057110: PDP can mix PRE/POST data from 2 different shots if a shot was aborted before the shot counter is increased;
IMM\ieccontrol\Mold1\ABValveControl.pu;CR_0055905 --> CR_0051822: optimize delay times between movements;
IMM\ieccontrol\Mold1\ABMeasureClampPressure.pu;CR_0057313: Auto cycle hangs when Mold Adjust Closed Loop is added to the sequence but not activated (sv_bAdjustInProduction FALSE);
IMM\ieccontrol\MoldHeight1\ABMoveBackward.pu;CR_0057313: Auto cycle hangs when Mold Adjust Closed Loop is added to the sequence but not activated (sv_bAdjustInProduction FALSE);
IMM\ieccontrol\MoldHeight1\ABMoveForward.pu;CR_0057313: Auto cycle hangs when Mold Adjust Closed Loop is added to the sequence but not activated (sv_bAdjustInProduction FALSE);
IMM\ieccontrol\MoldHeight1\ABMovementAdmin.pu;CR_0057313: Auto cycle hangs when Mold Adjust Closed Loop is added to the sequence but not activated (sv_bAdjustInProduction FALSE);
IMM\ieccontrol\MoldHeight1\ABValveControl.pu;CR_0055905 --> CR_0051822: optimize delay times between movements;
IMM\ieccontrol\MoldHeight1\MoldHeightVars.sv;CR_0057313: Auto cycle hangs when Mold Adjust Closed Loop is added to the sequence but not activated (sv_bAdjustInProduction FALSE);
IMM\ieccontrol\MoldHeight1\ABODCFunctions.pu;CR_0057313: Auto cycle hangs when Mold Adjust Closed Loop is added to the sequence but not activated (sv_bAdjustInProduction FALSE);
IMM\ieccontrol\Ejector1\ABValveControl.pu;CR_0055905 --> CR_0051822: optimize delay times between movements;
IMM\ieccontrol\InjectionGeneral\ABMoveCombinedPlast.pu;CR_0055905 --> CR_0051822: optimize delay times between movements;
IMM\ieccontrol\InjectionGeneral\ABInject.pu;CR_0057609 --> CR_0057056 --> CR_0057640: inject time to small when using time dependent cutoff;
IMM\ieccontrol\EjectorGeneral\ABMoveShake.pu;CR_0055905 --> CR_0051822: optimize delay times between movements;
IMM\ieccontrol\EjectorGeneral\ABODCFunctions.pu;CR_0055905 --> CR_0051822: optimize delay times between movements;
IMM\ieccontrol\Injection1\ABValveControl.pu;CR_0057609 --> CR_0057056 --> CR_0057640: inject time to small when using time dependent cutoff;CR_0057643: delay between Inject.sv_bOutputActive and do_Inject on raising edge;
IMM\ieccontrol\Injection1\Injection1.fu;CR_0057609 --> CR_0057056 --> CR_0057640: inject time to small when using time dependent cutoff;
IMM\ieccontrol\Nozzle1\ABValveControl.pu;CR_0055905 --> CR_0051822: optimize delay times between movements;
