ChangeReportConverter 1.0.0.0 Copyright © KEBA 2018
Fileformat Version: 2
Versions: project: project:KePlast.IEC_01.56@\Kemro_Applications--->project:KePlast.IEC_01.54@\Kemro_Applications
File creation time: 2019/2/19 14:48:06
User: LANGROUP\yanghl

managerconfig\starep.cfg;282719:KePlast i3015: reduce number of statusreports from 8 to 4
managerconfig\repsys.cfg;274397:ReportSystemBrowser does not list messages of class MSG_ALARM
managerconfig\Device1\softwareoptions\SoftwareOptionsLinux.xml;280127:Rename softwareunits ApplicationPatch and RemoteMaintenance in KePlast system
managerconfig\Device2\softwareoptions\SoftwareOptionsLinux.xml;280127:Rename softwareunits ApplicationPatch and RemoteMaintenance in KePlast system
managerconfig\maxStarepCnt.cfg;282719:KePlast i3015: reduce number of statusreports from 8 to 4
IMM\Device1\AddFilesForExecutableSystem\appldisk\application\control\config\hostcommunication.ini;277093:Additional necessary variables and mappings in hostcommunication necessary for Euromap 77;280436:define and apply a filter to be used by host systems for set-value change list
IMM\Device1\AddFilesForExecutableSystem\appldisk\AccSvcUsersRoles.db;285760:Create additional AAdPlus users and roles required by Euromap77 for all KePlast systems
IMM\Device1\AddFilesForExecutableSystem\masterdisk\system\config\setup\other_Linux.cfg;280666:KePlast: enable futex for ftrace
IMM\Device1\AddFilesForExecutableSystem\workspace\workspace\data\varmon\InjectionCharacteristic.xml;269023:Enhancement for KVS Inject Graph
IMM\Device1\AddFilesForExecutableSystem\workspace\workspace\data\molddata\AutoCycle_molddata.xml;72567(CR_0069625):EIMM: Ejector stroke plausibility is not correct;286349:Improvements at simulation for easy development at KePlast 02.06
IMM\Device1\AddFilesForExecutableSystem\workspace\workspace\data\molddata\AutoCycle_molddata_fast.xml;72567(CR_0069625):EIMM: Ejector stroke plausibility is not correct;286349:Improvements at simulation for easy development at KePlast 02.06
IMM\Device1\AddFilesForExecutableSystem\appldisk\application\control\config\easyNet.cfg;281263:Add Application.Application1.UnitReferences entry SCREW_DIAMETER to easyNet.cfg;274182:KePlast.easyNet: Show all SV and Alarm changes for a given molddata set in the past
IMM\ieccontrol\system\ABRuntimeMonitoring.pu;279280:KePlast.IEC: Max.speeds are wrong after first machine data loading
IMM\ieccontrol\system\FCreateIECVersion.pu;276410:KePlast.IEC_01.56;276675:KePlast.IEC_01.55;282088:Create AppCo projects without archive by default
